ano,uf_code,uf_sigla,regiao,nascidos_vivos
2014,21,MA,Nordeste,108917
2015,21,MA,Nordeste,97168
2016,21,MA,Nordeste,102576
2017,21,MA,Nordeste,99086
2018,21,MA,Nordeste,87862
2019,21,MA,Nordeste,92460
2020,21,MA,Nordeste,82639
2021,21,MA,Nordeste,84735
2022,21,MA,Nordeste,80803
2023,21,MA,Nordeste,77387
2014,22,PI,Nordeste,39010
2015,22,PI,Nordeste,39621
2016,22,PI,Nordeste,39619
2017,22,PI,Nordeste,39025
2018,22,PI,Nordeste,35274
2019,22,PI,Nordeste,35247
2020,22,PI,Nordeste,32696
2021,22,PI,Nordeste,31003
2022,22,PI,Nordeste,30328
2023,22,PI,Nordeste,29721
2014,23,CE,Nordeste,105422
2015,23,CE,Nordeste,109730
2016,23,CE,Nordeste,108268
2017,23,CE,Nordeste,104832
2018,23,CE,Nordeste,93946
2019,23,CE,Nordeste,89314
2020,23,CE,Nordeste,90186
2021,23,CE,Nordeste,84923
2022,23,CE,Nordeste,84358
2023,23,CE,Nordeste,82172
2014,24,RN,Nordeste,40001
2015,24,RN,Nordeste,37892
2016,24,RN,Nordeste,37975
2017,24,RN,Nordeste,35254
2018,24,RN,Nordeste,33553
2019,24,RN,Nordeste,33105
2020,24,RN,Nordeste,34028
2021,24,RN,Nordeste,30038
2022,24,RN,Nordeste,30306
2023,24,RN,Nordeste,30168
2014,25,PB,Nordeste,49113
2015,25,PB,Nordeste,46128
2016,25,PB,Nordeste,45605
2017,25,PB,Nordeste,45020
2018,25,PB,Nordeste,44164
2019,25,PB,Nordeste,42083
2020,25,PB,Nordeste,40921
2021,25,PB,Nordeste,37570
2022,25,PB,Nordeste,38956
2023,25,PB,Nordeste,34817
2014,26,PE,Nordeste,124838
2015,26,PE,Nordeste,110762
2016,26,PE,Nordeste,113630
2017,26,PE,Nordeste,105916
2018,26,PE,Nordeste,104221
2019,26,PE,Nordeste,103380
2020,26,PE,Nordeste,99471
2021,26,PE,Nordeste,98132
2022,26,PE,Nordeste,89484
2023,26,PE,Nordeste,85580
2014,27,AL,Nordeste,45515
2015,27,AL,Nordeste,45725
2016,27,AL,Nordeste,41454
2017,27,AL,Nordeste,41142
2018,27,AL,Nordeste,39896
2019,27,AL,Nordeste,39067
2020,27,AL,Nordeste,38144
2021,27,AL,Nordeste,37173
2022,27,AL,Nordeste,32945
2023,27,AL,Nordeste,32679
2014,28,SE,Nordeste,27404
2015,28,SE,Nordeste,28112
2016,28,SE,Nordeste,27348
2017,28,SE,Nordeste,25904
2018,28,SE,Nordeste,25355
2019,28,SE,Nordeste,23231
2020,28,SE,Nordeste,22496
2021,28,SE,Nordeste,22955
2022,28,SE,Nordeste,20249
2023,28,SE,Nordeste,20302
2014,29,BA,Nordeste,180008
2015,29,BA,Nordeste,167049
2016,29,BA,Nordeste,173634
2017,29,BA,Nordeste,170751
2018,29,BA,Nordeste,162208
2019,29,BA,Nordeste,152773
2020,29,BA,Nordeste,145127
2021,29,BA,Nordeste,146391
2022,29,BA,Nordeste,137257
2023,29,BA,Nordeste,130361
2014,31,MG,Sudeste,232967
2015,31,MG,Sudeste,239275
2016,31,MG,Sudeste,236505
2017,31,MG,Sudeste,217726
2018,31,MG,Sudeste,214476
2019,31,MG,Sudeste,206113
2020,31,MG,Sudeste,204907
2021,31,MG,Sudeste,180926
2022,31,MG,Sudeste,177252
2023,31,MG,Sudeste,178765
2014,32,ES,Sudeste,50194
2015,32,ES,Sudeste,48183
2016,32,ES,Sudeste,47192
2017,32,ES,Sudeste,46271
2018,32,ES,Sudeste,44923
2019,32,ES,Sudeste,40397
2020,32,ES,Sudeste,41799
2021,32,ES,Sudeste,41351
2022,32,ES,Sudeste,39513
2023,32,ES,Sudeste,36534
2014,33,RJ,Sudeste,195190
2015,33,RJ,Sudeste,186402
2016,33,RJ,Sudeste,195771
2017,33,RJ,Sudeste,176014
2018,33,RJ,Sudeste,177577
2019,33,RJ,Sudeste,175532
2020,33,RJ,Sudeste,171491
2021,33,RJ,Sudeste,159231
2022,33,RJ,Sudeste,155140
2023,33,RJ,Sudeste,138815
2014,35,SP,Sudeste,595735
2015,35,SP,Sudeste,564594
2016,35,SP,Sudeste,529126
2017,35,SP,Sudeste,534445
2018,35,SP,Sudeste,521942
2019,35,SP,Sudeste,513808
2020,35,SP,Sudeste,489456
2021,35,SP,Sudeste,458319
2022,35,SP,Sudeste,435200
2023,35,SP,Sudeste,450838
2014,41,PR,Sul,147254
2015,41,PR,Sul,140623
2016,41,PR,Sul,138828
2017,41,PR,Sul,132656
2018,41,PR,Sul,129442
2019,41,PR,Sul,122263
2020,41,PR,Sul,119968
2021,41,PR,Sul,115021
2022,41,PR,Sul,110960
2023,41,PR,Sul,109369
2014,42,SC,Sul,91892
2015,42,SC,Sul,95650
2016,42,SC,Sul,87082
2017,42,SC,Sul,85801
2018,42,SC,Sul,83329
2019,42,SC,Sul,82504
2020,42,SC,Sul,75470
2021,42,SC,Sul,78426
2022,42,SC,Sul,74884
2023,42,SC,Sul,67121
2014,43,RS,Sul,135001
2015,43,RS,Sul,125596
2016,43,RS,Sul,120203
2017,43,RS,Sul,114312
2018,43,RS,Sul,110267
2019,43,RS,Sul,114946
2020,43,RS,Sul,110783
2021,43,RS,Sul,101762
2022,43,RS,Sul,98366
2023,43,RS,Sul,92138
2014,50,MS,Centro-Oeste,44068
2015,50,MS,Centro-Oeste,40118
2016,50,MS,Centro-Oeste,40670
2017,50,MS,Centro-Oeste,38247
2018,50,MS,Centro-Oeste,36980
2019,50,MS,Centro-Oeste,36841
2020,50,MS,Centro-Oeste,35689
2021,50,MS,Centro-Oeste,33835
2022,50,MS,Centro-Oeste,31245
2023,50,MS,Centro-Oeste,29808
2014,51,MT,Centro-Oeste,56923
2015,51,MT,Centro-Oeste,51652
2016,51,MT,Centro-Oeste,51383
2017,51,MT,Centro-Oeste,49108
2018,51,MT,Centro-Oeste,47805
2019,51,MT,Centro-Oeste,48585
2020,51,MT,Centro-Oeste,46124
2021,51,MT,Centro-Oeste,44997
2022,51,MT,Centro-Oeste,42869
2023,51,MT,Centro-Oeste,40244
2014,52,GO,Centro-Oeste,86560
2015,52,GO,Centro-Oeste,88135
2016,52,GO,Centro-Oeste,87643
2017,52,GO,Centro-Oeste,84439
2018,52,GO,Centro-Oeste,81224
2019,52,GO,Centro-Oeste,76701
2020,52,GO,Centro-Oeste,74982
2021,52,GO,Centro-Oeste,74219
2022,52,GO,Centro-Oeste,69315
2023,52,GO,Centro-Oeste,64001
2014,53,DF,Centro-Oeste,44769
2015,53,DF,Centro-Oeste,43431
2016,53,DF,Centro-Oeste,40711
2017,53,DF,Centro-Oeste,39703
2018,53,DF,Centro-Oeste,38948
2019,53,DF,Centro-Oeste,38107
2020,53,DF,Centro-Oeste,36629
2021,53,DF,Centro-Oeste,35456
2022,53,DF,Centro-Oeste,32770
2023,53,DF,Centro-Oeste,32246
