ano,uf_code,uf_sigla,regiao,faixa,internacoes
2018,21,MA,Nordeste,menor_1_ano,1232
2018,21,MA,Nordeste,1_a_4_anos,2828
2019,21,MA,Nordeste,menor_1_ano,877
2019,21,MA,Nordeste,1_a_4_anos,2821
2020,21,MA,Nordeste,menor_1_ano,736
2020,21,MA,Nordeste,1_a_4_anos,2042
2021,21,MA,Nordeste,menor_1_ano,903
2021,21,MA,Nordeste,1_a_4_anos,1920
2022,21,MA,Nordeste,menor_1_ano,873
2022,21,MA,Nordeste,1_a_4_anos,1984
2023,21,MA,Nordeste,menor_1_ano,741
2023,21,MA,Nordeste,1_a_4_anos,1706
2024,21,MA,Nordeste,menor_1_ano,731
2024,21,MA,Nordeste,1_a_4_anos,1448
2014,22,PI,Nordeste,menor_1_ano,326
2014,22,PI,Nordeste,1_a_4_anos,1129
2015,22,PI,Nordeste,menor_1_ano,459
2015,22,PI,Nordeste,1_a_4_anos,734
2016,22,PI,Nordeste,menor_1_ano,362
2016,22,PI,Nordeste,1_a_4_anos,941
2017,22,PI,Nordeste,menor_1_ano,423
2017,22,PI,Nordeste,1_a_4_anos,804
2018,22,PI,Nordeste,menor_1_ano,361
2018,22,PI,Nordeste,1_a_4_anos,839
2019,22,PI,Nordeste,menor_1_ano,313
2019,22,PI,Nordeste,1_a_4_anos,700
2020,22,PI,Nordeste,menor_1_ano,299
2020,22,PI,Nordeste,1_a_4_anos,804
2021,22,PI,Nordeste,menor_1_ano,438
2021,22,PI,Nordeste,1_a_4_anos,1121
2022,22,PI,Nordeste,menor_1_ano,367
2022,22,PI,Nordeste,1_a_4_anos,622
2023,22,PI,Nordeste,menor_1_ano,319
2023,22,PI,Nordeste,1_a_4_anos,838
2024,22,PI,Nordeste,menor_1_ano,335
2024,22,PI,Nordeste,1_a_4_anos,1014
2014,23,CE,Nordeste,menor_1_ano,1376
2014,23,CE,Nordeste,1_a_4_anos,3274
2015,23,CE,Nordeste,menor_1_ano,1078
2015,23,CE,Nordeste,1_a_4_anos,2668
2016,23,CE,Nordeste,menor_1_ano,1413
2016,23,CE,Nordeste,1_a_4_anos,2068
2017,23,CE,Nordeste,menor_1_ano,1150
2017,23,CE,Nordeste,1_a_4_anos,2572
2018,23,CE,Nordeste,menor_1_ano,1217
2018,23,CE,Nordeste,1_a_4_anos,3091
2019,23,CE,Nordeste,menor_1_ano,893
2019,23,CE,Nordeste,1_a_4_anos,2007
2020,23,CE,Nordeste,menor_1_ano,923
2020,23,CE,Nordeste,1_a_4_anos,2854
2021,23,CE,Nordeste,menor_1_ano,1126
2021,23,CE,Nordeste,1_a_4_anos,1896
2022,23,CE,Nordeste,menor_1_ano,722
2022,23,CE,Nordeste,1_a_4_anos,2872
2023,23,CE,Nordeste,menor_1_ano,723
2023,23,CE,Nordeste,1_a_4_anos,2159
2024,23,CE,Nordeste,menor_1_ano,846
2024,23,CE,Nordeste,1_a_4_anos,2117
2014,24,RN,Nordeste,menor_1_ano,318
2014,24,RN,Nordeste,1_a_4_anos,1187
2015,24,RN,Nordeste,menor_1_ano,523
2015,24,RN,Nordeste,1_a_4_anos,948
2016,24,RN,Nordeste,menor_1_ano,443
2016,24,RN,Nordeste,1_a_4_anos,1216
2017,24,RN,Nordeste,menor_1_ano,284
2017,24,RN,Nordeste,1_a_4_anos,1109
2018,24,RN,Nordeste,menor_1_ano,367
2018,24,RN,Nordeste,1_a_4_anos,1036
2019,24,RN,Nordeste,menor_1_ano,446
2019,24,RN,Nordeste,1_a_4_anos,1000
2020,24,RN,Nordeste,menor_1_ano,355
2020,24,RN,Nordeste,1_a_4_anos,1019
2021,24,RN,Nordeste,menor_1_ano,254
2021,24,RN,Nordeste,1_a_4_anos,615
2022,24,RN,Nordeste,menor_1_ano,354
2022,24,RN,Nordeste,1_a_4_anos,719
2023,24,RN,Nordeste,menor_1_ano,247
2023,24,RN,Nordeste,1_a_4_anos,872
2024,24,RN,Nordeste,menor_1_ano,358
2024,24,RN,Nordeste,1_a_4_anos,751
2014,25,PB,Nordeste,menor_1_ano,518
2014,25,PB,Nordeste,1_a_4_anos,1606
2015,25,PB,Nordeste,menor_1_ano,574
2015,25,PB,Nordeste,1_a_4_anos,1154
2016,25,PB,Nordeste,menor_1_ano,552
2016,25,PB,Nordeste,1_a_4_anos,1231
2017,25,PB,Nordeste,menor_1_ano,529
2017,25,PB,Nordeste,1_a_4_anos,1114
2018,25,PB,Nordeste,menor_1_ano,445
2018,25,PB,Nordeste,1_a_4_anos,1222
2019,25,PB,Nordeste,menor_1_ano,577
2019,25,PB,Nordeste,1_a_4_anos,983
2020,25,PB,Nordeste,menor_1_ano,321
2020,25,PB,Nordeste,1_a_4_anos,906
2021,25,PB,Nordeste,menor_1_ano,489
2021,25,PB,Nordeste,1_a_4_anos,1018
2022,25,PB,Nordeste,menor_1_ano,544
2022,25,PB,Nordeste,1_a_4_anos,1102
2023,25,PB,Nordeste,menor_1_ano,442
2023,25,PB,Nordeste,1_a_4_anos,1149
2024,25,PB,Nordeste,menor_1_ano,345
2024,25,PB,Nordeste,1_a_4_anos,878
2014,26,PE,Nordeste,menor_1_ano,1272
2014,26,PE,Nordeste,1_a_4_anos,2416
2015,26,PE,Nordeste,menor_1_ano,1097
2015,26,PE,Nordeste,1_a_4_anos,2500
2016,26,PE,Nordeste,menor_1_ano,1234
2016,26,PE,Nordeste,1_a_4_anos,3703
2017,26,PE,Nordeste,menor_1_ano,1227
2017,26,PE,Nordeste,1_a_4_anos,2933
2018,26,PE,Nordeste,menor_1_ano,1027
2018,26,PE,Nordeste,1_a_4_anos,3601
2019,26,PE,Nordeste,menor_1_ano,949
2019,26,PE,Nordeste,1_a_4_anos,2734
2020,26,PE,Nordeste,menor_1_ano,918
2020,26,PE,Nordeste,1_a_4_anos,2038
2021,26,PE,Nordeste,menor_1_ano,1145
2021,26,PE,Nordeste,1_a_4_anos,2996
2022,26,PE,Nordeste,menor_1_ano,1200
2022,26,PE,Nordeste,1_a_4_anos,2939
2023,26,PE,Nordeste,menor_1_ano,809
2023,26,PE,Nordeste,1_a_4_anos,2133
2024,26,PE,Nordeste,menor_1_ano,1073
2024,26,PE,Nordeste,1_a_4_anos,1855
2014,27,AL,Nordeste,menor_1_ano,414
2014,27,AL,Nordeste,1_a_4_anos,1420
2015,27,AL,Nordeste,menor_1_ano,359
2015,27,AL,Nordeste,1_a_4_anos,921
2016,27,AL,Nordeste,menor_1_ano,572
2016,27,AL,Nordeste,1_a_4_anos,1213
2017,27,AL,Nordeste,menor_1_ano,384
2017,27,AL,Nordeste,1_a_4_anos,1050
2018,27,AL,Nordeste,menor_1_ano,531
2018,27,AL,Nordeste,1_a_4_anos,1020
2019,27,AL,Nordeste,menor_1_ano,412
2019,27,AL,Nordeste,1_a_4_anos,1265
2020,27,AL,Nordeste,menor_1_ano,356
2020,27,AL,Nordeste,1_a_4_anos,1122
2021,27,AL,Nordeste,menor_1_ano,404
2021,27,AL,Nordeste,1_a_4_anos,959
2022,27,AL,Nordeste,menor_1_ano,285
2022,27,AL,Nordeste,1_a_4_anos,1045
2023,27,AL,Nordeste,menor_1_ano,258
2023,27,AL,Nordeste,1_a_4_anos,908
2024,27,AL,Nordeste,menor_1_ano,373
2024,27,AL,Nordeste,1_a_4_anos,1035
2014,28,SE,Nordeste,menor_1_ano,263
2014,28,SE,Nordeste,1_a_4_anos,935
2015,28,SE,Nordeste,menor_1_ano,217
2015,28,SE,Nordeste,1_a_4_anos,777
2016,28,SE,Nordeste,menor_1_ano,377
2016,28,SE,Nordeste,1_a_4_anos,775
2017,28,SE,Nordeste,menor_1_ano,223
2017,28,SE,Nordeste,1_a_4_anos,505
2018,28,SE,Nordeste,menor_1_ano,309
2018,28,SE,Nordeste,1_a_4_anos,590
2019,28,SE,Nordeste,menor_1_ano,323
2019,28,SE,Nordeste,1_a_4_anos,829
2020,28,SE,Nordeste,menor_1_ano,265
2020,28,SE,Nordeste,1_a_4_anos,746
2021,28,SE,Nordeste,menor_1_ano,229
2021,28,SE,Nordeste,1_a_4_anos,625
2022,28,SE,Nordeste,menor_1_ano,210
2022,28,SE,Nordeste,1_a_4_anos,456
2023,28,SE,Nordeste,menor_1_ano,184
2023,28,SE,Nordeste,1_a_4_anos,710
2024,28,SE,Nordeste,menor_1_ano,265
2024,28,SE,Nordeste,1_a_4_anos,373
2014,29,BA,Nordeste,menor_1_ano,2178
2014,29,BA,Nordeste,1_a_4_anos,3590
2015,29,BA,Nordeste,menor_1_ano,1658
2015,29,BA,Nordeste,1_a_4_anos,4127
2016,29,BA,Nordeste,menor_1_ano,1878
2016,29,BA,Nordeste,1_a_4_anos,4281
2017,29,BA,Nordeste,menor_1_ano,2368
2017,29,BA,Nordeste,1_a_4_anos,4932
2018,29,BA,Nordeste,menor_1_ano,1789
2018,29,BA,Nordeste,1_a_4_anos,5078
2019,29,BA,Nordeste,menor_1_ano,1212
2019,29,BA,Nordeste,1_a_4_anos,3495
2020,29,BA,Nordeste,menor_1_ano,2010
2020,29,BA,Nordeste,1_a_4_anos,3298
2021,29,BA,Nordeste,menor_1_ano,1329
2021,29,BA,Nordeste,1_a_4_anos,4352
2022,29,BA,Nordeste,menor_1_ano,1745
2022,29,BA,Nordeste,1_a_4_anos,4124
2023,29,BA,Nordeste,menor_1_ano,1781
2023,29,BA,Nordeste,1_a_4_anos,3355
2024,29,BA,Nordeste,menor_1_ano,1338
2024,29,BA,Nordeste,1_a_4_anos,3393
2014,31,MG,Sudeste,menor_1_ano,1282
2014,31,MG,Sudeste,1_a_4_anos,3032
2015,31,MG,Sudeste,menor_1_ano,933
2015,31,MG,Sudeste,1_a_4_anos,2383
2016,31,MG,Sudeste,menor_1_ano,1149
2016,31,MG,Sudeste,1_a_4_anos,3112
2017,31,MG,Sudeste,menor_1_ano,958
2017,31,MG,Sudeste,1_a_4_anos,1729
2018,31,MG,Sudeste,menor_1_ano,1218
2018,31,MG,Sudeste,1_a_4_anos,2791
2019,31,MG,Sudeste,menor_1_ano,869
2019,31,MG,Sudeste,1_a_4_anos,1559
2020,31,MG,Sudeste,menor_1_ano,1053
2020,31,MG,Sudeste,1_a_4_anos,1702
2021,31,MG,Sudeste,menor_1_ano,867
2021,31,MG,Sudeste,1_a_4_anos,1945
2022,31,MG,Sudeste,menor_1_ano,625
2022,31,MG,Sudeste,1_a_4_anos,2377
2023,31,MG,Sudeste,menor_1_ano,832
2023,31,MG,Sudeste,1_a_4_anos,2440
2024,31,MG,Sudeste,menor_1_ano,587
2024,31,MG,Sudeste,1_a_4_anos,2123
2014,32,ES,Sudeste,menor_1_ano,251
2014,32,ES,Sudeste,1_a_4_anos,574
2015,32,ES,Sudeste,menor_1_ano,182
2015,32,ES,Sudeste,1_a_4_anos,366
2016,32,ES,Sudeste,menor_1_ano,159
2016,32,ES,Sudeste,1_a_4_anos,583
2017,32,ES,Sudeste,menor_1_ano,258
2017,32,ES,Sudeste,1_a_4_anos,394
2018,32,ES,Sudeste,menor_1_ano,184
2018,32,ES,Sudeste,1_a_4_anos,339
2019,32,ES,Sudeste,menor_1_ano,232
2019,32,ES,Sudeste,1_a_4_anos,458
2020,32,ES,Sudeste,menor_1_ano,166
2020,32,ES,Sudeste,1_a_4_anos,393
2021,32,ES,Sudeste,menor_1_ano,175
2021,32,ES,Sudeste,1_a_4_anos,337
2022,32,ES,Sudeste,menor_1_ano,176
2022,32,ES,Sudeste,1_a_4_anos,330
2023,32,ES,Sudeste,menor_1_ano,170
2023,32,ES,Sudeste,1_a_4_anos,350
2024,32,ES,Sudeste,menor_1_ano,182
2024,32,ES,Sudeste,1_a_4_anos,341
2014,33,RJ,Sudeste,menor_1_ano,714
2014,33,RJ,Sudeste,1_a_4_anos,2335
2015,33,RJ,Sudeste,menor_1_ano,867
2015,33,RJ,Sudeste,1_a_4_anos,1769
2016,33,RJ,Sudeste,menor_1_ano,774
2016,33,RJ,Sudeste,1_a_4_anos,1721
2017,33,RJ,Sudeste,menor_1_ano,1008
2017,33,RJ,Sudeste,1_a_4_anos,2137
2018,33,RJ,Sudeste,menor_1_ano,1026
2018,33,RJ,Sudeste,1_a_4_anos,2153
2019,33,RJ,Sudeste,menor_1_ano,959
2019,33,RJ,Sudeste,1_a_4_anos,2072
2020,33,RJ,Sudeste,menor_1_ano,789
2020,33,RJ,Sudeste,1_a_4_anos,1421
2021,33,RJ,Sudeste,menor_1_ano,897
2021,33,RJ,Sudeste,1_a_4_anos,1459
2022,33,RJ,Sudeste,menor_1_ano,799
2022,33,RJ,Sudeste,1_a_4_anos,1322
2023,33,RJ,Sudeste,menor_1_ano,637
2023,33,RJ,Sudeste,1_a_4_anos,1504
2024,33,RJ,Sudeste,menor_1_ano,669
2024,33,RJ,Sudeste,1_a_4_anos,1942
2014,35,SP,Sudeste,menor_1_ano,2919
2014,35,SP,Sudeste,1_a_4_anos,7207
2015,35,SP,Sudeste,menor_1_ano,2553
2015,35,SP,Sudeste,1_a_4_anos,7069
2016,35,SP,Sudeste,menor_1_ano,2252
2016,35,SP,Sudeste,1_a_4_anos,4294
2017,35,SP,Sudeste,menor_1_ano,3069
2017,35,SP,Sudeste,1_a_4_anos,5442
2018,35,SP,Sudeste,menor_1_ano,2401
2018,35,SP,Sudeste,1_a_4_anos,6816
2019,35,SP,Sudeste,menor_1_ano,2188
2019,35,SP,Sudeste,1_a_4_anos,4148
2020,35,SP,Sudeste,menor_1_ano,2094
2020,35,SP,Sudeste,1_a_4_anos,6264
2021,35,SP,Sudeste,menor_1_ano,1921
2021,35,SP,Sudeste,1_a_4_anos,5376
2022,35,SP,Sudeste,menor_1_ano,1452
2022,35,SP,Sudeste,1_a_4_anos,4336
2023,35,SP,Sudeste,menor_1_ano,2089
2023,35,SP,Sudeste,1_a_4_anos,5307
2024,35,SP,Sudeste,menor_1_ano,2010
2024,35,SP,Sudeste,1_a_4_anos,4335
2014,41,PR,Sul,menor_1_ano,570
2014,41,PR,Sul,1_a_4_anos,1081
2015,41,PR,Sul,menor_1_ano,482
2015,41,PR,Sul,1_a_4_anos,1081
2016,41,PR,Sul,menor_1_ano,358
2016,41,PR,Sul,1_a_4_anos,953
2017,41,PR,Sul,menor_1_ano,578
2017,41,PR,Sul,1_a_4_anos,863
2018,41,PR,Sul,menor_1_ano,510
2018,41,PR,Sul,1_a_4_anos,1402
2019,41,PR,Sul,menor_1_ano,320
2019,41,PR,Sul,1_a_4_anos,904
2020,41,PR,Sul,menor_1_ano,366
2020,41,PR,Sul,1_a_4_anos,1183
2021,41,PR,Sul,menor_1_ano,480
2021,41,PR,Sul,1_a_4_anos,1253
2022,41,PR,Sul,menor_1_ano,428
2022,41,PR,Sul,1_a_4_anos,666
2023,41,PR,Sul,menor_1_ano,479
2023,41,PR,Sul,1_a_4_anos,1065
2024,41,PR,Sul,menor_1_ano,279
2024,41,PR,Sul,1_a_4_anos,964
2014,42,SC,Sul,menor_1_ano,303
2014,42,SC,Sul,1_a_4_anos,928
2015,42,SC,Sul,menor_1_ano,421
2015,42,SC,Sul,1_a_4_anos,664
2016,42,SC,Sul,menor_1_ano,350
2016,42,SC,Sul,1_a_4_anos,663
2017,42,SC,Sul,menor_1_ano,348
2017,42,SC,Sul,1_a_4_anos,924
2018,42,SC,Sul,menor_1_ano,214
2018,42,SC,Sul,1_a_4_anos,806
2019,42,SC,Sul,menor_1_ano,367
2019,42,SC,Sul,1_a_4_anos,870
2020,42,SC,Sul,menor_1_ano,314
2020,42,SC,Sul,1_a_4_anos,671
2021,42,SC,Sul,menor_1_ano,305
2021,42,SC,Sul,1_a_4_anos,655
2022,42,SC,Sul,menor_1_ano,336
2022,42,SC,Sul,1_a_4_anos,737
2023,42,SC,Sul,menor_1_ano,262
2023,42,SC,Sul,1_a_4_anos,420
2024,42,SC,Sul,menor_1_ano,255
2024,42,SC,Sul,1_a_4_anos,522
2014,43,RS,Sul,menor_1_ano,352
2014,43,RS,Sul,1_a_4_anos,1003
2015,43,RS,Sul,menor_1_ano,469
2015,43,RS,Sul,1_a_4_anos,872
2016,43,RS,Sul,menor_1_ano,449
2016,43,RS,Sul,1_a_4_anos,1170
2017,43,RS,Sul,menor_1_ano,293
2017,43,RS,Sul,1_a_4_anos,847
2018,43,RS,Sul,menor_1_ano,377
2018,43,RS,Sul,1_a_4_anos,844
2019,43,RS,Sul,menor_1_ano,447
2019,43,RS,Sul,1_a_4_anos,1024
2020,43,RS,Sul,menor_1_ano,308
2020,43,RS,Sul,1_a_4_anos,811
2021,43,RS,Sul,menor_1_ano,323
2021,43,RS,Sul,1_a_4_anos,585
2022,43,RS,Sul,menor_1_ano,388
2022,43,RS,Sul,1_a_4_anos,911
2023,43,RS,Sul,menor_1_ano,329
2023,43,RS,Sul,1_a_4_anos,670
2024,43,RS,Sul,menor_1_ano,339
2024,43,RS,Sul,1_a_4_anos,908
2014,50,MS,Centro-Oeste,menor_1_ano,318
2014,50,MS,Centro-Oeste,1_a_4_anos,861
2015,50,MS,Centro-Oeste,menor_1_ano,261
2015,50,MS,Centro-Oeste,1_a_4_anos,904
2016,50,MS,Centro-Oeste,menor_1_ano,201
2016,50,MS,Centro-Oeste,1_a_4_anos,491
2017,50,MS,Centro-Oeste,menor_1_ano,234
2017,50,MS,Centro-Oeste,1_a_4_anos,714
2018,50,MS,Centro-Oeste,menor_1_ano,264
2018,50,MS,Centro-Oeste,1_a_4_anos,633
2019,50,MS,Centro-Oeste,menor_1_ano,298
2019,50,MS,Centro-Oeste,1_a_4_anos,609
2020,50,MS,Centro-Oeste,menor_1_ano,207
2020,50,MS,Centro-Oeste,1_a_4_anos,657
2021,50,MS,Centro-Oeste,menor_1_ano,189
2021,50,MS,Centro-Oeste,1_a_4_anos,378
2022,50,MS,Centro-Oeste,menor_1_ano,233
2022,50,MS,Centro-Oeste,1_a_4_anos,464
2023,50,MS,Centro-Oeste,menor_1_ano,258
2023,50,MS,Centro-Oeste,1_a_4_anos,495
2024,50,MS,Centro-Oeste,menor_1_ano,248
2024,50,MS,Centro-Oeste,1_a_4_anos,524
2014,51,MT,Centro-Oeste,menor_1_ano,412
2014,51,MT,Centro-Oeste,1_a_4_anos,1127
2015,51,MT,Centro-Oeste,menor_1_ano,350
2015,51,MT,Centro-Oeste,1_a_4_anos,1049
2016,51,MT,Centro-Oeste,menor_1_ano,389
2016,51,MT,Centro-Oeste,1_a_4_anos,1137
2017,51,MT,Centro-Oeste,menor_1_ano,424
2017,51,MT,Centro-Oeste,1_a_4_anos,642
2018,51,MT,Centro-Oeste,menor_1_ano,409
2018,51,MT,Centro-Oeste,1_a_4_anos,754
2019,51,MT,Centro-Oeste,menor_1_ano,309
2019,51,MT,Centro-Oeste,1_a_4_anos,991
2020,51,MT,Centro-Oeste,menor_1_ano,346
2020,51,MT,Centro-Oeste,1_a_4_anos,538
2021,51,MT,Centro-Oeste,menor_1_ano,298
2021,51,MT,Centro-Oeste,1_a_4_anos,868
2022,51,MT,Centro-Oeste,menor_1_ano,353
2022,51,MT,Centro-Oeste,1_a_4_anos,758
2023,51,MT,Centro-Oeste,menor_1_ano,227
2023,51,MT,Centro-Oeste,1_a_4_anos,889
2024,51,MT,Centro-Oeste,menor_1_ano,267
2024,51,MT,Centro-Oeste,1_a_4_anos,514
2014,52,GO,Centro-Oeste,menor_1_ano,736
2014,52,GO,Centro-Oeste,1_a_4_anos,1378
2015,52,GO,Centro-Oeste,menor_1_ano,623
2015,52,GO,Centro-Oeste,1_a_4_anos,1819
2016,52,GO,Centro-Oeste,menor_1_ano,640
2016,52,GO,Centro-Oeste,1_a_4_anos,1732
2017,52,GO,Centro-Oeste,menor_1_ano,654
2017,52,GO,Centro-Oeste,1_a_4_anos,1683
2018,52,GO,Centro-Oeste,menor_1_ano,632
2018,52,GO,Centro-Oeste,1_a_4_anos,1169
2019,52,GO,Centro-Oeste,menor_1_ano,592
2019,52,GO,Centro-Oeste,1_a_4_anos,1210
2020,52,GO,Centro-Oeste,menor_1_ano,592
2020,52,GO,Centro-Oeste,1_a_4_anos,1377
2021,52,GO,Centro-Oeste,menor_1_ano,556
2021,52,GO,Centro-Oeste,1_a_4_anos,1327
2022,52,GO,Centro-Oeste,menor_1_ano,440
2022,52,GO,Centro-Oeste,1_a_4_anos,1449
2023,52,GO,Centro-Oeste,menor_1_ano,410
2023,52,GO,Centro-Oeste,1_a_4_anos,913
