ano,uf_code,faixa,populacao,uf_sigla,regiao
2021,15,1_a_4_anos,430207,PA,Norte
2022,15,menor_1_ano,96270,PA,Norte
2022,15,1_a_4_anos,381990,PA,Norte
2023,15,menor_1_ano,94027,PA,Norte
2023,15,1_a_4_anos,374574,PA,Norte
2024,15,menor_1_ano,87396,PA,Norte
2024,15,1_a_4_anos,374650,PA,Norte
2014,16,menor_1_ano,13873,AP,Norte
2014,16,1_a_4_anos,57267,AP,Norte
2015,16,menor_1_ano,13017,AP,Norte
2015,16,1_a_4_anos,55069,AP,Norte
2016,16,menor_1_ano,12956,AP,Norte
2016,16,1_a_4_anos,53946,AP,Norte
2017,16,menor_1_ano,12662,AP,Norte
2017,16,1_a_4_anos,52226,AP,Norte
2018,16,menor_1_ano,12319,AP,Norte
2018,16,1_a_4_anos,49166,AP,Norte
2019,16,menor_1_ano,11700,AP,Norte
2019,16,1_a_4_anos,46937,AP,Norte
2020,16,menor_1_ano,11342,AP,Norte
2020,16,1_a_4_anos,44651,AP,Norte
2021,16,menor_1_ano,11014,AP,Norte
2021,16,1_a_4_anos,43033,AP,Norte
2022,16,menor_1_ano,10232,AP,Norte
2022,16,1_a_4_anos,43952,AP,Norte
2023,16,menor_1_ano,10014,AP,Norte
2023,16,1_a_4_anos,40526,AP,Norte
2024,16,menor_1_ano,9681,AP,Norte
2024,16,1_a_4_anos,39997,AP,Norte
2014,17,menor_1_ano,23474,TO,Norte
2014,17,1_a_4_anos,94601,TO,Norte
2015,17,menor_1_ano,22144,TO,Norte
2015,17,1_a_4_anos,89870,TO,Norte
2016,17,menor_1_ano,21802,TO,Norte
2016,17,1_a_4_anos,93457,TO,Norte
2017,17,menor_1_ano,21322,TO,Norte
2017,17,1_a_4_anos,83878,TO,Norte
2018,17,menor_1_ano,20792,TO,Norte
2018,17,1_a_4_anos,87334,TO,Norte
2019,17,menor_1_ano,20264,TO,Norte
2019,17,1_a_4_anos,83953,TO,Norte
2020,17,menor_1_ano,19215,TO,Norte
2020,17,1_a_4_anos,80513,TO,Norte
2021,17,menor_1_ano,18907,TO,Norte
2021,17,1_a_4_anos,79073,TO,Norte
2022,17,menor_1_ano,17350,TO,Norte
2022,17,1_a_4_anos,76349,TO,Norte
2023,17,menor_1_ano,17353,TO,Norte
2023,17,1_a_4_anos,67221,TO,Norte
2024,17,menor_1_ano,16323,TO,Norte
2024,17,1_a_4_anos,64531,TO,Norte
2014,21,menor_1_ano,102692,MA,Nordeste
2014,21,1_a_4_anos,426926,MA,Nordeste
2015,21,menor_1_ano,100044,MA,Nordeste
2015,21,1_a_4_anos,421953,MA,Nordeste
2016,21,menor_1_ano,97613,MA,Nordeste
2016,21,1_a_4_anos,414039,MA,Nordeste
2017,21,menor_1_ano,92193,MA,Nordeste
2017,21,1_a_4_anos,363200,MA,Nordeste
2018,21,menor_1_ano,87885,MA,Nordeste
2018,21,1_a_4_anos,385701,MA,Nordeste
2019,21,menor_1_ano,87308,MA,Nordeste
2019,21,1_a_4_anos,350880,MA,Nordeste
2020,21,menor_1_ano,84530,MA,Nordeste
2020,21,1_a_4_anos,361115,MA,Nordeste
2021,21,menor_1_ano,80165,MA,Nordeste
2021,21,1_a_4_anos,331395,MA,Nordeste
2022,21,menor_1_ano,76029,MA,Nordeste
2022,21,1_a_4_anos,304908,MA,Nordeste
2023,21,menor_1_ano,74859,MA,Nordeste
2023,21,1_a_4_anos,293280,MA,Nordeste
2024,21,menor_1_ano,72555,MA,Nordeste
2024,21,1_a_4_anos,280740,MA,Nordeste
2014,22,menor_1_ano,39946,PI,Nordeste
2014,22,1_a_4_anos,170195,PI,Nordeste
2015,22,menor_1_ano,38786,PI,Nordeste
2015,22,1_a_4_anos,152308,PI,Nordeste
2016,22,menor_1_ano,36941,PI,Nordeste
2016,22,1_a_4_anos,152112,PI,Nordeste
2017,22,menor_1_ano,36411,PI,Nordeste
2017,22,1_a_4_anos,142037,PI,Nordeste
2018,22,menor_1_ano,34834,PI,Nordeste
2018,22,1_a_4_anos,139784,PI,Nordeste
2019,22,menor_1_ano,33743,PI,Nordeste
2019,22,1_a_4_anos,139887,PI,Nordeste
2020,22,menor_1_ano,33434,PI,Nordeste
2020,22,1_a_4_anos,133256,PI,Nordeste
2021,22,menor_1_ano,30988,PI,Nordeste
2021,22,1_a_4_anos,134877,PI,Nordeste
2022,22,menor_1_ano,30781,PI,Nordeste
2022,22,1_a_4_anos,125489,PI,Nordeste
2023,22,menor_1_ano,29581,PI,Nordeste
2023,22,1_a_4_anos,124766,PI,Nordeste
2024,22,menor_1_ano,27800,PI,Nordeste
2024,22,1_a_4_anos,119710,PI,Nordeste
2014,23,menor_1_ano,106280,CE,Nordeste
2014,23,1_a_4_anos,439556,CE,Nordeste
2015,23,menor_1_ano,102548,CE,Nordeste
2015,23,1_a_4_anos,445055,CE,Nordeste
2016,23,menor_1_ano,99123,CE,Nordeste
2016,23,1_a_4_anos,417579,CE,Nordeste
2017,23,menor_1_ano,95598,CE,Nordeste
2017,23,1_a_4_anos,405159,CE,Nordeste
2018,23,menor_1_ano,92368,CE,Nordeste
2018,23,1_a_4_anos,398307,CE,Nordeste
2019,23,menor_1_ano,93039,CE,Nordeste
2019,23,1_a_4_anos,392362,CE,Nordeste
2020,23,menor_1_ano,88962,CE,Nordeste
2020,23,1_a_4_anos,356973,CE,Nordeste
2021,23,menor_1_ano,84520,CE,Nordeste
2021,23,1_a_4_anos,332623,CE,Nordeste
2022,23,menor_1_ano,81098,CE,Nordeste
2022,23,1_a_4_anos,336787,CE,Nordeste
2023,23,menor_1_ano,78413,CE,Nordeste
2023,23,1_a_4_anos,322158,CE,Nordeste
2024,23,menor_1_ano,74232,CE,Nordeste
2024,23,1_a_4_anos,309152,CE,Nordeste
2014,24,menor_1_ano,39533,RN,Nordeste
2014,24,1_a_4_anos,158245,RN,Nordeste
2015,24,menor_1_ano,38104,RN,Nordeste
2015,24,1_a_4_anos,161152,RN,Nordeste
2016,24,menor_1_ano,37307,RN,Nordeste
2016,24,1_a_4_anos,145595,RN,Nordeste
2017,24,menor_1_ano,36265,RN,Nordeste
2017,24,1_a_4_anos,144535,RN,Nordeste
2018,24,menor_1_ano,33470,RN,Nordeste
2018,24,1_a_4_anos,147108,RN,Nordeste
2019,24,menor_1_ano,32652,RN,Nordeste
2019,24,1_a_4_anos,137468,RN,Nordeste
2020,24,menor_1_ano,31200,RN,Nordeste
2020,24,1_a_4_anos,127919,RN,Nordeste
2021,24,menor_1_ano,30092,RN,Nordeste
2021,24,1_a_4_anos,129946,RN,Nordeste
2022,24,menor_1_ano,30241,RN,Nordeste
2022,24,1_a_4_anos,115771,RN,Nordeste
2023,24,menor_1_ano,28289,RN,Nordeste
2023,24,1_a_4_anos,118312,RN,Nordeste
2024,24,menor_1_ano,27225,RN,Nordeste
2024,24,1_a_4_anos,117063,RN,Nordeste
2014,25,menor_1_ano,49076,PB,Nordeste
2014,25,1_a_4_anos,190337,PB,Nordeste
2015,25,menor_1_ano,46754,PB,Nordeste
2015,25,1_a_4_anos,186784,PB,Nordeste
2016,25,menor_1_ano,45611,PB,Nordeste
2016,25,1_a_4_anos,191287,PB,Nordeste
2017,25,menor_1_ano,44136,PB,Nordeste
2017,25,1_a_4_anos,185367,PB,Nordeste
2018,25,menor_1_ano,42911,PB,Nordeste
2018,25,1_a_4_anos,176837,PB,Nordeste
2019,25,menor_1_ano,42194,PB,Nordeste
2019,25,1_a_4_anos,176964,PB,Nordeste
2020,25,menor_1_ano,39215,PB,Nordeste
2020,25,1_a_4_anos,159738,PB,Nordeste
2021,25,menor_1_ano,38608,PB,Nordeste
2021,25,1_a_4_anos,162872,PB,Nordeste
2022,25,menor_1_ano,36780,PB,Nordeste
2022,25,1_a_4_anos,157436,PB,Nordeste
2023,25,menor_1_ano,36407,PB,Nordeste
2023,25,1_a_4_anos,147246,PB,Nordeste
2024,25,menor_1_ano,34568,PB,Nordeste
2024,25,1_a_4_anos,133040,PB,Nordeste
2014,26,menor_1_ano,115742,PE,Nordeste
2014,26,1_a_4_anos,459921,PE,Nordeste
2015,26,menor_1_ano,115057,PE,Nordeste
2015,26,1_a_4_anos,445946,PE,Nordeste
2016,26,menor_1_ano,111565,PE,Nordeste
2016,26,1_a_4_anos,457792,PE,Nordeste
2017,26,menor_1_ano,107406,PE,Nordeste
2017,26,1_a_4_anos,425400,PE,Nordeste
2018,26,menor_1_ano,102682,PE,Nordeste
2018,26,1_a_4_anos,435769,PE,Nordeste
2019,26,menor_1_ano,99478,PE,Nordeste
2019,26,1_a_4_anos,413908,PE,Nordeste
2020,26,menor_1_ano,93596,PE,Nordeste
2020,26,1_a_4_anos,385398,PE,Nordeste
2021,26,menor_1_ano,92918,PE,Nordeste
2021,26,1_a_4_anos,383930,PE,Nordeste
2022,26,menor_1_ano,89770,PE,Nordeste
2022,26,1_a_4_anos,379736,PE,Nordeste
2023,26,menor_1_ano,86110,PE,Nordeste
2023,26,1_a_4_anos,336520,PE,Nordeste
2024,26,menor_1_ano,82649,PE,Nordeste
2024,26,1_a_4_anos,330871,PE,Nordeste
2014,27,menor_1_ano,43471,AL,Nordeste
2014,27,1_a_4_anos,171897,AL,Nordeste
2015,27,menor_1_ano,42350,AL,Nordeste
2015,27,1_a_4_anos,167906,AL,Nordeste
2016,27,menor_1_ano,41984,AL,Nordeste
2016,27,1_a_4_anos,164088,AL,Nordeste
2017,27,menor_1_ano,39956,AL,Nordeste
2017,27,1_a_4_anos,164880,AL,Nordeste
2018,27,menor_1_ano,38764,AL,Nordeste
2018,27,1_a_4_anos,158247,AL,Nordeste
2019,27,menor_1_ano,37975,AL,Nordeste
2019,27,1_a_4_anos,148822,AL,Nordeste
2020,27,menor_1_ano,36324,AL,Nordeste
2020,27,1_a_4_anos,153595,AL,Nordeste
2021,27,menor_1_ano,34360,AL,Nordeste
2021,27,1_a_4_anos,136952,AL,Nordeste
2022,27,menor_1_ano,33004,AL,Nordeste
2022,27,1_a_4_anos,134865,AL,Nordeste
2023,27,menor_1_ano,32189,AL,Nordeste
2023,27,1_a_4_anos,135502,AL,Nordeste
2024,27,menor_1_ano,30016,AL,Nordeste
2024,27,1_a_4_anos,131952,AL,Nordeste
2014,28,menor_1_ano,27896,SE,Nordeste
2014,28,1_a_4_anos,112062,SE,Nordeste
2015,28,menor_1_ano,25950,SE,Nordeste
2015,28,1_a_4_anos,109697,SE,Nordeste
2016,28,menor_1_ano,25136,SE,Nordeste
2016,28,1_a_4_anos,101943,SE,Nordeste
2017,28,menor_1_ano,24426,SE,Nordeste
2017,28,1_a_4_anos,97744,SE,Nordeste
2018,28,menor_1_ano,24372,SE,Nordeste
2018,28,1_a_4_anos,95511,SE,Nordeste
2019,28,menor_1_ano,23061,SE,Nordeste
2019,28,1_a_4_anos,99344,SE,Nordeste
2020,28,menor_1_ano,22941,SE,Nordeste
2020,28,1_a_4_anos,87828,SE,Nordeste
2021,28,menor_1_ano,21870,SE,Nordeste
2021,28,1_a_4_anos,90214,SE,Nordeste
2022,28,menor_1_ano,20267,SE,Nordeste
2022,28,1_a_4_anos,83357,SE,Nordeste
2023,28,menor_1_ano,19587,SE,Nordeste
2023,28,1_a_4_anos,83376,SE,Nordeste
2024,28,menor_1_ano,19271,SE,Nordeste
2024,28,1_a_4_anos,78020,SE,Nordeste
2014,29,menor_1_ano,178262,BA,Nordeste
2014,29,1_a_4_anos,729098,BA,Nordeste
2015,29,menor_1_ano,167282,BA,Nordeste
2015,29,1_a_4_anos,715505,BA,Nordeste
2016,29,menor_1_ano,161086,BA,Nordeste
2016,29,1_a_4_anos,701389,BA,Nordeste
2017,29,menor_1_ano,157405,BA,Nordeste
2017,29,1_a_4_anos,626166,BA,Nordeste
2018,29,menor_1_ano,155727,BA,Nordeste
2018,29,1_a_4_anos,651410,BA,Nordeste
2019,29,menor_1_ano,152377,BA,Nordeste
2019,29,1_a_4_anos,599699,BA,Nordeste
2020,29,menor_1_ano,142290,BA,Nordeste
2020,29,1_a_4_anos,614533,BA,Nordeste
2021,29,menor_1_ano,136381,BA,Nordeste
2021,29,1_a_4_anos,541604,BA,Nordeste
2022,29,menor_1_ano,133352,BA,Nordeste
2022,29,1_a_4_anos,569889,BA,Nordeste
2023,29,menor_1_ano,126380,BA,Nordeste
2023,29,1_a_4_anos,500996,BA,Nordeste
2024,29,menor_1_ano,122891,BA,Nordeste
2024,29,1_a_4_anos,481880,BA,Nordeste
2014,31,menor_1_ano,232757,MG,Sudeste
2014,31,1_a_4_anos,912612,MG,Sudeste
2015,31,menor_1_ano,224314,MG,Sudeste
2015,31,1_a_4_anos,927569,MG,Sudeste
2016,31,menor_1_ano,225051,MG,Sudeste
2016,31,1_a_4_anos,901725,MG,Sudeste
2017,31,menor_1_ano,210643,MG,Sudeste
2017,31,1_a_4_anos,871580,MG,Sudeste
2018,31,menor_1_ano,204016,MG,Sudeste
2018,31,1_a_4_anos,856044,MG,Sudeste
2019,31,menor_1_ano,197922,MG,Sudeste
2019,31,1_a_4_anos,822981,MG,Sudeste
2020,31,menor_1_ano,191669,MG,Sudeste
2020,31,1_a_4_anos,787768,MG,Sudeste
2021,31,menor_1_ano,186488,MG,Sudeste
2021,31,1_a_4_anos,757564,MG,Sudeste
2022,31,menor_1_ano,179178,MG,Sudeste
2022,31,1_a_4_anos,725660,MG,Sudeste
2023,31,menor_1_ano,172498,MG,Sudeste
2023,31,1_a_4_anos,730995,MG,Sudeste
2024,31,menor_1_ano,159828,MG,Sudeste
2024,31,1_a_4_anos,641885,MG,Sudeste
2014,32,menor_1_ano,48287,ES,Sudeste
2014,32,1_a_4_anos,206504,ES,Sudeste
2015,32,menor_1_ano,48224,ES,Sudeste
2015,32,1_a_4_anos,189481,ES,Sudeste
2016,32,menor_1_ano,46752,ES,Sudeste
2016,32,1_a_4_anos,180388,ES,Sudeste
2017,32,menor_1_ano,44284,ES,Sudeste
2017,32,1_a_4_anos,175831,ES,Sudeste
2018,32,menor_1_ano,42890,ES,Sudeste
2018,32,1_a_4_anos,172975,ES,Sudeste
2019,32,menor_1_ano,41697,ES,Sudeste
2019,32,1_a_4_anos,177077,ES,Sudeste
2020,32,menor_1_ano,39157,ES,Sudeste
2020,32,1_a_4_anos,156618,ES,Sudeste
2021,32,menor_1_ano,37795,ES,Sudeste
2021,32,1_a_4_anos,156324,ES,Sudeste
2022,32,menor_1_ano,37160,ES,Sudeste
2022,32,1_a_4_anos,145148,ES,Sudeste
2023,32,menor_1_ano,35373,ES,Sudeste
2023,32,1_a_4_anos,151102,ES,Sudeste
2024,32,menor_1_ano,33750,ES,Sudeste
2024,32,1_a_4_anos,140360,ES,Sudeste
2014,33,menor_1_ano,191215,RJ,Sudeste
2014,33,1_a_4_anos,809150,RJ,Sudeste
2015,33,menor_1_ano,193349,RJ,Sudeste
2015,33,1_a_4_anos,751777,RJ,Sudeste
2016,33,menor_1_ano,185911,RJ,Sudeste
2016,33,1_a_4_anos,735349,RJ,Sudeste
2017,33,menor_1_ano,174921,RJ,Sudeste
2017,33,1_a_4_anos,742802,RJ,Sudeste
2018,33,menor_1_ano,174579,RJ,Sudeste
2018,33,1_a_4_anos,693496,RJ,Sudeste
2019,33,menor_1_ano,168195,RJ,Sudeste
2019,33,1_a_4_anos,671366,RJ,Sudeste
2020,33,menor_1_ano,160823,RJ,Sudeste
2020,33,1_a_4_anos,682542,RJ,Sudeste
2021,33,menor_1_ano,155353,RJ,Sudeste
2021,33,1_a_4_anos,659956,RJ,Sudeste
2022,33,menor_1_ano,149337,RJ,Sudeste
2022,33,1_a_4_anos,618813,RJ,Sudeste
2023,33,menor_1_ano,140628,RJ,Sudeste
2023,33,1_a_4_anos,590466,RJ,Sudeste
2024,33,menor_1_ano,135659,RJ,Sudeste
2024,33,1_a_4_anos,558355,RJ,Sudeste
2014,35,menor_1_ano,571090,SP,Sudeste
2014,35,1_a_4_anos,2454395,SP,Sudeste
2015,35,menor_1_ano,569198,SP,Sudeste
2015,35,1_a_4_anos,2213456,SP,Sudeste
2016,35,menor_1_ano,542665,SP,Sudeste
2016,35,1_a_4_anos,2206873,SP,Sudeste
2017,35,menor_1_ano,529666,SP,Sudeste
2017,35,1_a_4_anos,2207597,SP,Sudeste
2018,35,menor_1_ano,496862,SP,Sudeste
2018,35,1_a_4_anos,2104773,SP,Sudeste
2019,35,menor_1_ano,486452,SP,Sudeste
2019,35,1_a_4_anos,2081355,SP,Sudeste
2020,35,menor_1_ano,468606,SP,Sudeste
2020,35,1_a_4_anos,1901752,SP,Sudeste
2021,35,menor_1_ano,456037,SP,Sudeste
2021,35,1_a_4_anos,1884471,SP,Sudeste
2022,35,menor_1_ano,446565,SP,Sudeste
2022,35,1_a_4_anos,1725076,SP,Sudeste
2023,35,menor_1_ano,417914,SP,Sudeste
2023,35,1_a_4_anos,1792218,SP,Sudeste
2024,35,menor_1_ano,411738,SP,Sudeste
2024,35,1_a_4_anos,1619754,SP,Sudeste
2014,41,menor_1_ano,138100,PR,Sul
2014,41,1_a_4_anos,589692,PR,Sul
2015,41,menor_1_ano,137384,PR,Sul
2015,41,1_a_4_anos,549542,PR,Sul
2016,41,menor_1_ano,135353,PR,Sul
2016,41,1_a_4_anos,567850,PR,Sul
2017,41,menor_1_ano,128571,PR,Sul
2017,41,1_a_4_anos,507062,PR,Sul
2018,41,menor_1_ano,127201,PR,Sul
2018,41,1_a_4_anos,533594,PR,Sul
2019,41,menor_1_ano,121779,PR,Sul
2019,41,1_a_4_anos,471657,PR,Sul
2020,41,menor_1_ano,117567,PR,Sul
2020,41,1_a_4_anos,487883,PR,Sul
2021,41,menor_1_ano,109271,PR,Sul
2021,41,1_a_4_anos,479040,PR,Sul
2022,41,menor_1_ano,106103,PR,Sul
2022,41,1_a_4_anos,431354,PR,Sul
2023,41,menor_1_ano,102372,PR,Sul
2023,41,1_a_4_anos,408008,PR,Sul
2024,41,menor_1_ano,97638,PR,Sul
2024,41,1_a_4_anos,389879,PR,Sul
2014,42,menor_1_ano,91555,SC,Sul
2014,42,1_a_4_anos,367622,SC,Sul
2015,42,menor_1_ano,89425,SC,Sul
2015,42,1_a_4_anos,380297,SC,Sul
2016,42,menor_1_ano,87222,SC,Sul
2016,42,1_a_4_anos,368317,SC,Sul
2017,42,menor_1_ano,85150,SC,Sul
2017,42,1_a_4_anos,354037,SC,Sul
2018,42,menor_1_ano,82998,SC,Sul
2018,42,1_a_4_anos,346636,SC,Sul
2019,42,menor_1_ano,78861,SC,Sul
2019,42,1_a_4_anos,332131,SC,Sul
2020,42,menor_1_ano,77860,SC,Sul
2020,42,1_a_4_anos,322378,SC,Sul
2021,42,menor_1_ano,71857,SC,Sul
2021,42,1_a_4_anos,302831,SC,Sul
2022,42,menor_1_ano,71810,SC,Sul
2022,42,1_a_4_anos,290755,SC,Sul
2023,42,menor_1_ano,67427,SC,Sul
2023,42,1_a_4_anos,284033,SC,Sul
2024,42,menor_1_ano,66010,SC,Sul
2024,42,1_a_4_anos,255405,SC,Sul
2014,43,menor_1_ano,125590,RS,Sul
2014,43,1_a_4_anos,530555,RS,Sul
2015,43,menor_1_ano,125980,RS,Sul
2015,43,1_a_4_anos,512589,RS,Sul
2016,43,menor_1_ano,121120,RS,Sul
2016,43,1_a_4_anos,470104,RS,Sul
2017,43,menor_1_ano,112438,RS,Sul
2017,43,1_a_4_anos,484899,RS,Sul
2018,43,menor_1_ano,109399,RS,Sul
2018,43,1_a_4_anos,452031,RS,Sul
2019,43,menor_1_ano,109484,RS,Sul
2019,43,1_a_4_anos,458883,RS,Sul
2020,43,menor_1_ano,102059,RS,Sul
2020,43,1_a_4_anos,432228,RS,Sul
2021,43,menor_1_ano,98310,RS,Sul
2021,43,1_a_4_anos,391378,RS,Sul
2022,43,menor_1_ano,97409,RS,Sul
2022,43,1_a_4_anos,403739,RS,Sul
2023,43,menor_1_ano,94659,RS,Sul
2023,43,1_a_4_anos,366513,RS,Sul
2024,43,menor_1_ano,90537,RS,Sul
2024,43,1_a_4_anos,356383,RS,Sul
2014,50,menor_1_ano,40127,MS,Centro-Oeste
2014,50,1_a_4_anos,174824,MS,Centro-Oeste
2015,50,menor_1_ano,39456,MS,Centro-Oeste
2015,50,1_a_4_anos,169753,MS,Centro-Oeste
2016,50,menor_1_ano,38779,MS,Centro-Oeste
2016,50,1_a_4_anos,165683,MS,Centro-Oeste
2017,50,menor_1_ano,37364,MS,Centro-Oeste
2017,50,1_a_4_anos,147221,MS,Centro-Oeste
2018,50,menor_1_ano,36788,MS,Centro-Oeste
2018,50,1_a_4_anos,147395,MS,Centro-Oeste
2019,50,menor_1_ano,34710,MS,Centro-Oeste
2019,50,1_a_4_anos,149186,MS,Centro-Oeste
2020,50,menor_1_ano,32917,MS,Centro-Oeste
2020,50,1_a_4_anos,133933,MS,Centro-Oeste
2021,50,menor_1_ano,32499,MS,Centro-Oeste
2021,50,1_a_4_anos,127148,MS,Centro-Oeste
2022,50,menor_1_ano,30668,MS,Centro-Oeste
2022,50,1_a_4_anos,123460,MS,Centro-Oeste
2023,50,menor_1_ano,29358,MS,Centro-Oeste
2023,50,1_a_4_anos,119530,MS,Centro-Oeste
2024,50,menor_1_ano,28686,MS,Centro-Oeste
2024,50,1_a_4_anos,117346,MS,Centro-Oeste
2014,51,menor_1_ano,54292,MT,Centro-Oeste
2014,51,1_a_4_anos,226281,MT,Centro-Oeste
2015,51,menor_1_ano,51388,MT,Centro-Oeste
2015,51,1_a_4_anos,209888,MT,Centro-Oeste
2016,51,menor_1_ano,49967,MT,Centro-Oeste
2016,51,1_a_4_anos,215822,MT,Centro-Oeste
2017,51,menor_1_ano,49489,MT,Centro-Oeste
2017,51,1_a_4_anos,207633,MT,Centro-Oeste
2018,51,menor_1_ano,46638,MT,Centro-Oeste
2018,51,1_a_4_anos,199531,MT,Centro-Oeste
2019,51,menor_1_ano,45582,MT,Centro-Oeste
2019,51,1_a_4_anos,193336,MT,Centro-Oeste
2020,51,menor_1_ano,43622,MT,Centro-Oeste
2020,51,1_a_4_anos,183049,MT,Centro-Oeste
2021,51,menor_1_ano,42189,MT,Centro-Oeste
2021,51,1_a_4_anos,182426,MT,Centro-Oeste
2022,51,menor_1_ano,41149,MT,Centro-Oeste
2022,51,1_a_4_anos,167819,MT,Centro-Oeste
2023,51,menor_1_ano,40080,MT,Centro-Oeste
2023,51,1_a_4_anos,166237,MT,Centro-Oeste
2024,51,menor_1_ano,37139,MT,Centro-Oeste
2024,51,1_a_4_anos,152786,MT,Centro-Oeste
2014,52,menor_1_ano,86208,GO,Centro-Oeste
2014,52,1_a_4_anos,366034,GO,Centro-Oeste
2015,52,menor_1_ano,86301,GO,Centro-Oeste
2015,52,1_a_4_anos,364500,GO,Centro-Oeste
2016,52,menor_1_ano,80925,GO,Centro-Oeste
2016,52,1_a_4_anos,347782,GO,Centro-Oeste
