ano,uf_code,uf_sigla,regiao,faixa,obitos
2014,25,PB,Nordeste,menor_1_ano,12
2014,25,PB,Nordeste,1_a_4_anos,1
2015,25,PB,Nordeste,menor_1_ano,8
2015,25,PB,Nordeste,1_a_4_anos,2
2016,25,PB,Nordeste,menor_1_ano,11
2016,25,PB,Nordeste,1_a_4_anos,1
2017,25,PB,Nordeste,menor_1_ano,5
2017,25,PB,Nordeste,1_a_4_anos,1
2018,25,PB,Nordeste,menor_1_ano,9
2018,25,PB,Nordeste,1_a_4_anos,1
2019,25,PB,Nordeste,menor_1_ano,7
2019,25,PB,Nordeste,1_a_4_anos,1
2020,25,PB,Nordeste,menor_1_ano,6
2020,25,PB,Nordeste,1_a_4_anos,2
2021,25,PB,Nordeste,menor_1_ano,13
2021,25,PB,Nordeste,1_a_4_anos,1
2022,25,PB,Nordeste,menor_1_ano,10
2022,25,PB,Nordeste,1_a_4_anos,1
2023,25,PB,Nordeste,menor_1_ano,11
2023,25,PB,Nordeste,1_a_4_anos,0
2014,26,PE,Nordeste,menor_1_ano,32
2014,26,PE,Nordeste,1_a_4_anos,6
2015,26,PE,Nordeste,menor_1_ano,33
2015,26,PE,Nordeste,1_a_4_anos,5
2016,26,PE,Nordeste,menor_1_ano,24
2016,26,PE,Nordeste,1_a_4_anos,5
2017,26,PE,Nordeste,menor_1_ano,30
2017,26,PE,Nordeste,1_a_4_anos,4
2018,26,PE,Nordeste,menor_1_ano,30
2018,26,PE,Nordeste,1_a_4_anos,3
2019,26,PE,Nordeste,menor_1_ano,18
2019,26,PE,Nordeste,1_a_4_anos,4
2020,26,PE,Nordeste,menor_1_ano,35
2020,26,PE,Nordeste,1_a_4_anos,4
2021,26,PE,Nordeste,menor_1_ano,12
2021,26,PE,Nordeste,1_a_4_anos,3
2022,26,PE,Nordeste,menor_1_ano,12
2022,26,PE,Nordeste,1_a_4_anos,4
2023,26,PE,Nordeste,menor_1_ano,13
2023,26,PE,Nordeste,1_a_4_anos,2
2014,27,AL,Nordeste,menor_1_ano,14
2014,27,AL,Nordeste,1_a_4_anos,0
2015,27,AL,Nordeste,menor_1_ano,10
2015,27,AL,Nordeste,1_a_4_anos,1
2016,27,AL,Nordeste,menor_1_ano,15
2016,27,AL,Nordeste,1_a_4_anos,0
2017,27,AL,Nordeste,menor_1_ano,12
2017,27,AL,Nordeste,1_a_4_anos,2
2018,27,AL,Nordeste,menor_1_ano,11
2018,27,AL,Nordeste,1_a_4_anos,0
2019,27,AL,Nordeste,menor_1_ano,12
2019,27,AL,Nordeste,1_a_4_anos,1
2020,27,AL,Nordeste,menor_1_ano,13
2020,27,AL,Nordeste,1_a_4_anos,0
2021,27,AL,Nordeste,menor_1_ano,10
2021,27,AL,Nordeste,1_a_4_anos,1
2022,27,AL,Nordeste,menor_1_ano,10
2022,27,AL,Nordeste,1_a_4_anos,1
2023,27,AL,Nordeste,menor_1_ano,4
2023,27,AL,Nordeste,1_a_4_anos,1
2014,28,SE,Nordeste,menor_1_ano,3
2014,28,SE,Nordeste,1_a_4_anos,1
2015,28,SE,Nordeste,menor_1_ano,3
2015,28,SE,Nordeste,1_a_4_anos,1
2016,28,SE,Nordeste,menor_1_ano,9
2016,28,SE,Nordeste,1_a_4_anos,0
2017,28,SE,Nordeste,menor_1_ano,7
2017,28,SE,Nordeste,1_a_4_anos,1
2018,28,SE,Nordeste,menor_1_ano,7
2018,28,SE,Nordeste,1_a_4_anos,1
2019,28,SE,Nordeste,menor_1_ano,4
2019,28,SE,Nordeste,1_a_4_anos,1
2020,28,SE,Nordeste,menor_1_ano,2
2020,28,SE,Nordeste,1_a_4_anos,1
2021,28,SE,Nordeste,menor_1_ano,6
2021,28,SE,Nordeste,1_a_4_anos,0
2022,28,SE,Nordeste,menor_1_ano,5
2022,28,SE,Nordeste,1_a_4_anos,0
2023,28,SE,Nordeste,menor_1_ano,7
2023,28,SE,Nordeste,1_a_4_anos,0
2014,29,BA,Nordeste,menor_1_ano,49
2014,29,BA,Nordeste,1_a_4_anos,6
2015,29,BA,Nordeste,menor_1_ano,55
2015,29,BA,Nordeste,1_a_4_anos,9
2016,29,BA,Nordeste,menor_1_ano,51
2016,29,BA,Nordeste,1_a_4_anos,8
2017,29,BA,Nordeste,menor_1_ano,21
2017,29,BA,Nordeste,1_a_4_anos,4
2018,29,BA,Nordeste,menor_1_ano,21
2018,29,BA,Nordeste,1_a_4_anos,5
2019,29,BA,Nordeste,menor_1_ano,54
2019,29,BA,Nordeste,1_a_4_anos,7
2020,29,BA,Nordeste,menor_1_ano,46
2020,29,BA,Nordeste,1_a_4_anos,4
2021,29,BA,Nordeste,menor_1_ano,52
2021,29,BA,Nordeste,1_a_4_anos,7
2022,29,BA,Nordeste,menor_1_ano,47
2022,29,BA,Nordeste,1_a_4_anos,5
2023,29,BA,Nordeste,menor_1_ano,22
2023,29,BA,Nordeste,1_a_4_anos,4
2014,31,MG,Sudeste,menor_1_ano,26
2014,31,MG,Sudeste,1_a_4_anos,3
2015,31,MG,Sudeste,menor_1_ano,16
2015,31,MG,Sudeste,1_a_4_anos,3
2016,31,MG,Sudeste,menor_1_ano,26
2016,31,MG,Sudeste,1_a_4_anos,4
2017,31,MG,Sudeste,menor_1_ano,15
2017,31,MG,Sudeste,1_a_4_anos,3
2018,31,MG,Sudeste,menor_1_ano,25
2018,31,MG,Sudeste,1_a_4_anos,2
2019,31,MG,Sudeste,menor_1_ano,15
2019,31,MG,Sudeste,1_a_4_anos,3
2020,31,MG,Sudeste,menor_1_ano,20
2020,31,MG,Sudeste,1_a_4_anos,1
2021,31,MG,Sudeste,menor_1_ano,19
2021,31,MG,Sudeste,1_a_4_anos,2
2022,31,MG,Sudeste,menor_1_ano,19
2022,31,MG,Sudeste,1_a_4_anos,3
2023,31,MG,Sudeste,menor_1_ano,18
2023,31,MG,Sudeste,1_a_4_anos,1
2014,32,ES,Sudeste,menor_1_ano,2
2014,32,ES,Sudeste,1_a_4_anos,0
2015,32,ES,Sudeste,menor_1_ano,5
2015,32,ES,Sudeste,1_a_4_anos,0
2016,32,ES,Sudeste,menor_1_ano,4
2016,32,ES,Sudeste,1_a_4_anos,0
2017,32,ES,Sudeste,menor_1_ano,3
2017,32,ES,Sudeste,1_a_4_anos,0
2018,32,ES,Sudeste,menor_1_ano,4
2018,32,ES,Sudeste,1_a_4_anos,0
2019,32,ES,Sudeste,menor_1_ano,2
2019,32,ES,Sudeste,1_a_4_anos,0
2020,32,ES,Sudeste,menor_1_ano,2
2020,32,ES,Sudeste,1_a_4_anos,0
2021,32,ES,Sudeste,menor_1_ano,2
2021,32,ES,Sudeste,1_a_4_anos,0
2022,32,ES,Sudeste,menor_1_ano,3
2022,32,ES,Sudeste,1_a_4_anos,0
2023,32,ES,Sudeste,menor_1_ano,3
2023,32,ES,Sudeste,1_a_4_anos,0
2014,33,RJ,Sudeste,menor_1_ano,19
2014,33,RJ,Sudeste,1_a_4_anos,2
2015,33,RJ,Sudeste,menor_1_ano,10
2015,33,RJ,Sudeste,1_a_4_anos,1
2016,33,RJ,Sudeste,menor_1_ano,11
2016,33,RJ,Sudeste,1_a_4_anos,1
2017,33,RJ,Sudeste,menor_1_ano,14
2017,33,RJ,Sudeste,1_a_4_anos,1
2018,33,RJ,Sudeste,menor_1_ano,7
2018,33,RJ,Sudeste,1_a_4_anos,3
2019,33,RJ,Sudeste,menor_1_ano,7
2019,33,RJ,Sudeste,1_a_4_anos,1
2020,33,RJ,Sudeste,menor_1_ano,9
2020,33,RJ,Sudeste,1_a_4_anos,2
2021,33,RJ,Sudeste,menor_1_ano,11
2021,33,RJ,Sudeste,1_a_4_anos,1
2022,33,RJ,Sudeste,menor_1_ano,14
2022,33,RJ,Sudeste,1_a_4_anos,2
2023,33,RJ,Sudeste,menor_1_ano,8
2023,33,RJ,Sudeste,1_a_4_anos,2
2014,35,SP,Sudeste,menor_1_ano,45
2014,35,SP,Sudeste,1_a_4_anos,4
2015,35,SP,Sudeste,menor_1_ano,38
2015,35,SP,Sudeste,1_a_4_anos,9
2016,35,SP,Sudeste,menor_1_ano,44
2016,35,SP,Sudeste,1_a_4_anos,6
2017,35,SP,Sudeste,menor_1_ano,45
2017,35,SP,Sudeste,1_a_4_anos,6
2018,35,SP,Sudeste,menor_1_ano,58
2018,35,SP,Sudeste,1_a_4_anos,9
2019,35,SP,Sudeste,menor_1_ano,49
2019,35,SP,Sudeste,1_a_4_anos,3
2020,35,SP,Sudeste,menor_1_ano,29
2020,35,SP,Sudeste,1_a_4_anos,3
2021,35,SP,Sudeste,menor_1_ano,54
2021,35,SP,Sudeste,1_a_4_anos,3
2022,35,SP,Sudeste,menor_1_ano,38
2022,35,SP,Sudeste,1_a_4_anos,7
2023,35,SP,Sudeste,menor_1_ano,29
2023,35,SP,Sudeste,1_a_4_anos,8
2014,41,PR,Sul,menor_1_ano,10
2014,41,PR,Sul,1_a_4_anos,2
2015,41,PR,Sul,menor_1_ano,8
2015,41,PR,Sul,1_a_4_anos,2
2016,41,PR,Sul,menor_1_ano,13
2016,41,PR,Sul,1_a_4_anos,0
2017,41,PR,Sul,menor_1_ano,5
2017,41,PR,Sul,1_a_4_anos,1
2018,41,PR,Sul,menor_1_ano,8
2018,41,PR,Sul,1_a_4_anos,2
2019,41,PR,Sul,menor_1_ano,11
2019,41,PR,Sul,1_a_4_anos,1
2020,41,PR,Sul,menor_1_ano,6
2020,41,PR,Sul,1_a_4_anos,1
2021,41,PR,Sul,menor_1_ano,6
2021,41,PR,Sul,1_a_4_anos,0
2022,41,PR,Sul,menor_1_ano,5
2022,41,PR,Sul,1_a_4_anos,0
2023,41,PR,Sul,menor_1_ano,10
2023,41,PR,Sul,1_a_4_anos,0
2014,42,SC,Sul,menor_1_ano,8
2014,42,SC,Sul,1_a_4_anos,1
2015,42,SC,Sul,menor_1_ano,6
2015,42,SC,Sul,1_a_4_anos,1
2016,42,SC,Sul,menor_1_ano,6
2016,42,SC,Sul,1_a_4_anos,0
2017,42,SC,Sul,menor_1_ano,5
2017,42,SC,Sul,1_a_4_anos,0
2018,42,SC,Sul,menor_1_ano,4
2018,42,SC,Sul,1_a_4_anos,1
2019,42,SC,Sul,menor_1_ano,8
2019,42,SC,Sul,1_a_4_anos,0
2020,42,SC,Sul,menor_1_ano,2
2020,42,SC,Sul,1_a_4_anos,0
2021,42,SC,Sul,menor_1_ano,7
2021,42,SC,Sul,1_a_4_anos,1
2022,42,SC,Sul,menor_1_ano,4
2022,42,SC,Sul,1_a_4_anos,0
2023,42,SC,Sul,menor_1_ano,5
2023,42,SC,Sul,1_a_4_anos,0
2014,43,RS,Sul,menor_1_ano,6
2014,43,RS,Sul,1_a_4_anos,1
2015,43,RS,Sul,menor_1_ano,6
2015,43,RS,Sul,1_a_4_anos,1
2016,43,RS,Sul,menor_1_ano,8
2016,43,RS,Sul,1_a_4_anos,0
2017,43,RS,Sul,menor_1_ano,10
2017,43,RS,Sul,1_a_4_anos,0
2018,43,RS,Sul,menor_1_ano,9
2018,43,RS,Sul,1_a_4_anos,0
2019,43,RS,Sul,menor_1_ano,11
2019,43,RS,Sul,1_a_4_anos,1
2020,43,RS,Sul,menor_1_ano,9
2020,43,RS,Sul,1_a_4_anos,1
2021,43,RS,Sul,menor_1_ano,5
2021,43,RS,Sul,1_a_4_anos,1
2022,43,RS,Sul,menor_1_ano,6
2022,43,RS,Sul,1_a_4_anos,0
2023,43,RS,Sul,menor_1_ano,4
2023,43,RS,Sul,1_a_4_anos,1
2014,50,MS,Centro-Oeste,menor_1_ano,6
2014,50,MS,Centro-Oeste,1_a_4_anos,0
2015,50,MS,Centro-Oeste,menor_1_ano,4
2015,50,MS,Centro-Oeste,1_a_4_anos,0
2016,50,MS,Centro-Oeste,menor_1_ano,7
2016,50,MS,Centro-Oeste,1_a_4_anos,1
2017,50,MS,Centro-Oeste,menor_1_ano,6
2017,50,MS,Centro-Oeste,1_a_4_anos,0
2018,50,MS,Centro-Oeste,menor_1_ano,6
2018,50,MS,Centro-Oeste,1_a_4_anos,1
2019,50,MS,Centro-Oeste,menor_1_ano,2
2019,50,MS,Centro-Oeste,1_a_4_anos,0
2020,50,MS,Centro-Oeste,menor_1_ano,4
2020,50,MS,Centro-Oeste,1_a_4_anos,0
2021,50,MS,Centro-Oeste,menor_1_ano,4
2021,50,MS,Centro-Oeste,1_a_4_anos,0
2022,50,MS,Centro-Oeste,menor_1_ano,2
2022,50,MS,Centro-Oeste,1_a_4_anos,0
2023,50,MS,Centro-Oeste,menor_1_ano,2
2023,50,MS,Centro-Oeste,1_a_4_anos,0
2014,51,MT,Centro-Oeste,menor_1_ano,7
2014,51,MT,Centro-Oeste,1_a_4_anos,1
2015,51,MT,Centro-Oeste,menor_1_ano,6
2015,51,MT,Centro-Oeste,1_a_4_anos,0
2016,51,MT,Centro-Oeste,menor_1_ano,7
2016,51,MT,Centro-Oeste,1_a_4_anos,0
2017,51,MT,Centro-Oeste,menor_1_ano,4
2017,51,MT,Centro-Oeste,1_a_4_anos,0
2018,51,MT,Centro-Oeste,menor_1_ano,3
2018,51,MT,Centro-Oeste,1_a_4_anos,1
2019,51,MT,Centro-Oeste,menor_1_ano,3
2019,51,MT,Centro-Oeste,1_a_4_anos,0
2020,51,MT,Centro-Oeste,menor_1_ano,4
2020,51,MT,Centro-Oeste,1_a_4_anos,0
2021,51,MT,Centro-Oeste,menor_1_ano,7
2021,51,MT,Centro-Oeste,1_a_4_anos,0
2022,51,MT,Centro-Oeste,menor_1_ano,4
2022,51,MT,Centro-Oeste,1_a_4_anos,0
2023,51,MT,Centro-Oeste,menor_1_ano,4
2023,51,MT,Centro-Oeste,1_a_4_anos,0
2014,52,GO,Centro-Oeste,menor_1_ano,14
2014,52,GO,Centro-Oeste,1_a_4_anos,1
2015,52,GO,Centro-Oeste,menor_1_ano,15
2015,52,GO,Centro-Oeste,1_a_4_anos,2
2016,52,GO,Centro-Oeste,menor_1_ano,11
2016,52,GO,Centro-Oeste,1_a_4_anos,2
2017,52,GO,Centro-Oeste,menor_1_ano,14
2017,52,GO,Centro-Oeste,1_a_4_anos,1
2018,52,GO,Centro-Oeste,menor_1_ano,5
2018,52,GO,Centro-Oeste,1_a_4_anos,1
2019,52,GO,Centro-Oeste,menor_1_ano,9
2019,52,GO,Centro-Oeste,1_a_4_anos,1
2020,52,GO,Centro-Oeste,menor_1_ano,5
2020,52,GO,Centro-Oeste,1_a_4_anos,0
2021,52,GO,Centro-Oeste,menor_1_ano,11
2021,52,GO,Centro-Oeste,1_a_4_anos,0
2022,52,GO,Centro-Oeste,menor_1_ano,11
2022,52,GO,Centro-Oeste,1_a_4_anos,1
2023,52,GO,Centro-Oeste,menor_1_ano,10
2023,52,GO,Centro-Oeste,1_a_4_anos,1
2014,53,DF,Centro-Oeste,menor_1_ano,5
2014,53,DF,Centro-Oeste,1_a_4_anos,0
2015,53,DF,Centro-Oeste,menor_1_ano,4
2015,53,DF,Centro-Oeste,1_a_4_anos,0
2016,53,DF,Centro-Oeste,menor_1_ano,3
2016,53,DF,Centro-Oeste,1_a_4_anos,0
2017,53,DF,Centro-Oeste,menor_1_ano,4
2017,53,DF,Centro-Oeste,1_a_4_anos,0
2018,53,DF,Centro-Oeste,menor_1_ano,4
2018,53,DF,Centro-Oeste,1_a_4_anos,0
2019,53,DF,Centro-Oeste,menor_1_ano,6
2019,53,DF,Centro-Oeste,1_a_4_anos,0
2020,53,DF,Centro-Oeste,menor_1_ano,3
2020,53,DF,Centro-Oeste,1_a_4_anos,1
2021,53,DF,Centro-Oeste,menor_1_ano,2
2021,53,DF,Centro-Oeste,1_a_4_anos,0
2022,53,DF,Centro-Oeste,menor_1_ano,5
2022,53,DF,Centro-Oeste,1_a_4_anos,0
2023,53,DF,Centro-Oeste,menor_1_ano,3
2023,53,DF,Centro-Oeste,1_a_4_anos,0
